Date,Time,Tank 1 (%),Tank 2 (%),Tank 3 (%),Flow
1/31/2023,8:12:03 AM,53.600651,40.423058,25.535975,66.716255
,,,,,
1/31/2023,8:12:05 AM,53.784241,40.594719,25.705254,65.884163
,,,,,
1/31/2023,8:12:07 AM,54.00597,40.806915,25.860226,65.731575
,,,,,
1/31/2023,8:12:09 AM,54.177635,40.973812,25.998512,66.49929
,,,,,
1/31/2023,8:12:10 AM,54.20863,41.090637,26.072424,66.148811
,,,,,
1/31/2023,8:12:11 AM,54.361217,41.176472,26.158255,65.693428
,,,,,
1/31/2023,8:12:12 AM,54.509045,41.267071,26.236933,66.146431
,,,,,
1/31/2023,8:12:13 AM,54.573418,41.381512,26.313231,67.236015
,,,,,
1/31/2023,8:12:15 AM,54.845215,41.569866,26.461052,66.740097
,,,,,
1/31/2023,8:12:16 AM,54.842831,41.674774,26.542114,65.989067
,,,,,
1/31/2023,8:12:18 AM,54.978733,41.863125,26.699474,66.144043
,,,,,
1/31/2023,8:12:19 AM,55.04549,41.965649,26.771,66.256104
,,,,,
1/31/2023,8:12:20 AM,55.162315,42.051479,26.82584,66.220337
,,,,,
1/31/2023,8:12:22 AM,55.281525,42.227913,26.937897,67.007133
,,,,,
1/31/2023,8:12:23 AM,55.393581,42.332817,26.999886,67.813004
,,,,,
1/31/2023,8:12:25 AM,55.622471,42.530708,27.145323,66.489754
,,,,,
1/31/2023,8:12:26 AM,55.694,42.585545,27.216852,66.268021
,,,,,
1/31/2023,8:12:28 AM,55.856125,42.819199,27.350367,67.762932
,,,,,
1/31/2023,8:12:29 AM,55.980103,42.897881,27.400434,67.598419
,,,,,
1/31/2023,8:12:31 AM,56.151764,43.081463,27.553024,67.112038
,,,,,
1/31/2023,8:12:32 AM,56.151764,43.155376,27.610245,66.999977
,,,,,
1/31/2023,8:12:33 AM,56.270981,43.257896,27.684158,66.489754
,,,,,
1/31/2023,8:12:35 AM,56.437881,43.455788,27.834364,66.568436
,,,,,
1/31/2023,8:12:37 AM,56.628616,43.625065,27.977415,68.277924
,,,,,
1/31/2023,8:12:38 AM,56.695374,43.734741,28.022715,68.182556
,,,,,
1/31/2023,8:12:40 AM,56.864651,43.868256,28.172922,66.465912
,,,,,
1/31/2023,8:12:41 AM,56.983864,43.966011,28.261141,65.578987
,,,,,
1/31/2023,8:12:43 AM,57.029163,44.144829,28.370813,66.968987
,,,,,
1/31/2023,8:12:44 AM,57.134068,44.247349,28.449493,66.742485
,,,,,
1/31/2023,8:12:46 AM,57.227058,44.411861,28.573475,66.101128
,,,,,
1/31/2023,8:12:48 AM,57.470245,44.583523,28.709373,68.189705
,,,,,
1/31/2023,8:12:50 AM,57.570381,44.743267,28.852427,67.68187
,,,,,
1/31/2023,8:12:51 AM,57.641907,44.810024,28.909647,67.68187
,,,,,
1/31/2023,8:12:52 AM,57.742046,44.886318,29.007399,68.430511
,,,,,
1/31/2023,8:12:54 AM,57.830261,45.081825,29.138533,67.789154
,,,,,
1/31/2023,8:12:55 AM,57.961391,45.160507,29.193371,67.982277
,,,,,
1/31/2023,8:12:57 AM,58.247501,45.322632,29.348343,68.010887
,,,,,
1/31/2023,8:12:59 AM,58.283264,45.482376,29.477093,67.948898
,,,,,
1/31/2023,8:13:01 AM,58.476387,45.642117,29.615379,67.94413
,,,,,
1/31/2023,8:13:03 AM,58.557449,45.806629,29.75843,66.768707
,,,,,
1/31/2023,8:13:04 AM,58.7005,45.882923,29.822805,66.23941
,,,,,
1/31/2023,8:13:05 AM,58.769642,45.956837,29.920557,66.647118
,,,,,
1/31/2023,8:13:07 AM,58.807789,46.118961,30.058844,68.1754
,,,,,
1/31/2023,8:13:08 AM,58.910309,46.185722,30.123217,68.394753
,,,,,
1/31/2023,8:13:09 AM,58.907925,46.242943,30.187592,68.368523
,,,,,
1/31/2023,8:13:11 AM,59.005684,46.412224,30.337799,66.158348
,,,,,
1/31/2023,8:13:13 AM,59.155888,46.564812,30.464161,65.66243
,,,,,
1/31/2023,8:13:15 AM,59.220268,46.700714,30.585756,67.720016
,,,,,
1/31/2023,8:13:16 AM,59.277489,46.774624,30.685892,68.132484
,,,,,
1/31/2023,8:13:17 AM,59.380005,46.855686,30.721655,67.014282
,,,,,
1/31/2023,8:13:19 AM,59.353783,47.013046,30.879015,65.536064
,,,,,
1/31/2023,8:13:20 AM,59.492065,47.08934,30.941006,66.864082
,,,,,
1/31/2023,8:13:21 AM,59.494446,47.151333,31.002995,67.22171
,,,,,
1/31/2023,8:13:23 AM,59.601738,47.299152,31.105515,66.086823
,,,,,
1/31/2023,8:13:25 AM,59.613655,47.430286,31.281948,66.511215
,,,,,
1/31/2023,8:13:26 AM,59.732872,47.497044,31.334404,67.21933
,,,,,
1/31/2023,8:13:27 AM,59.742409,47.585258,31.382088,63.459415
,,,,,
1/31/2023,8:13:28 AM,59.725719,47.647247,31.470303,65.111679
,,,,,
1/31/2023,8:13:29 AM,59.792477,47.70924,31.532291,67.679482
,,,,,
1/31/2023,8:13:30 AM,59.792477,47.768845,31.57044,66.978523
,,,,,
1/31/2023,8:13:32 AM,59.852081,47.916668,31.742105,63.778896
,,,,,
1/31/2023,8:13:34 AM,59.813934,48.045414,31.892309,62.312595
,,,,,
1/31/2023,8:13:36 AM,59.933151,48.162243,31.98291,65.466927
,,,,,
1/31/2023,8:13:37 AM,59.925999,48.217079,32.05682,64.556152
,,,,,
1/31/2023,8:13:39 AM,59.833008,48.329136,32.149807,62.956341
,,,,,
1/31/2023,8:13:40 AM,59.854465,48.386356,32.230869,63.361656
,,,,,
1/31/2023,8:13:42 AM,59.906918,48.51749,32.364384,64.265274
,,,,,
1/31/2023,8:13:44 AM,59.947456,48.648621,32.483597,64.53231
,,,,,
1/31/2023,8:13:46 AM,60.026134,48.734455,32.633804,65.273804
,,,,,
1/31/2023,8:13:47 AM,60.004677,48.798828,32.710098,64.96862
,,,,,
1/31/2023,8:13:48 AM,59.992756,48.858433,32.774471,64.723045
,,,,,
1/31/2023,8:13:49 AM,60.064281,48.898964,32.826923,64.777885
,,,,,
1/31/2023,8:13:51 AM,60.092892,49.011024,32.931831,65.571831
,,,,,
1/31/2023,8:13:53 AM,60.080971,49.108776,33.055809,64.732582
,,,,,
1/31/2023,8:13:54 AM,60.121502,49.177921,33.120182,62.620163
,,,,,
1/31/2023,8:13:56 AM,60.131039,49.335278,33.291847,68.924049
,,,,,
1/31/2023,8:13:57 AM,60.188259,49.37104,33.358604,66.763939
,,,,,
1/31/2023,8:13:59 AM,60.209717,49.466412,33.487354,61.73085
,,,,,
1/31/2023,8:14:00 AM,60.209717,49.502174,33.544575,63.30682
,,,,,
1/31/2023,8:14:01 AM,60.116734,49.557011,33.601795,65.032997
,,,,,
1/31/2023,8:14:03 AM,60.204948,49.68576,33.701935,64.906631
,,,,,
1/31/2023,8:14:04 AM,60.24548,49.747749,33.766308,64.18898
,,,,,
1/31/2023,8:14:06 AM,60.216869,49.824043,33.868828,63.948177
,,,,,
1/31/2023,8:14:07 AM,60.24548,49.871727,33.945126,64.897095
,,,,,
1/31/2023,8:14:08 AM,60.214485,49.907494,33.995193,65.493149
,,,,,
1/31/2023,8:14:09 AM,60.276474,49.950409,34.057182,65.276184
,,,,,
1/31/2023,8:14:10 AM,60.188259,49.969482,34.135864,64.920937
,,,,,
1/31/2023,8:14:12 AM,60.283627,50.076771,34.233616,65.817406
,,,,,
1/31/2023,8:14:13 AM,60.309853,50.126839,34.290836,65.800713
,,,,,
1/31/2023,8:14:15 AM,60.340847,50.200756,34.400513,65.502686
,,,,,
1/31/2023,8:14:17 AM,60.40522,50.27705,34.507801,65.371559
,,,,,
1/31/2023,8:14:18 AM,60.417141,50.315197,34.579327,64.878021
,,,,,
1/31/2023,8:14:19 AM,60.50536,50.358112,34.617474,64.832726
,,,,,
